"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","-Cp","arc_length","Points:0","Points:1","Points:2"
-0.53379,0,0.84394,6.8217,-0.24219,0.25843,-3.1361,0.24219,1.0291,0.013936,0,0.016992
-0.45509,0,0.88964,7.093,-0.34246,0.24317,-2.6473,0.34246,1.039,0.02259,0,0.021753
-0.39485,0,0.91829,7.2752,-0.41216,0.22491,-2.2741,0.41216,1.0507,0.033272,0,0.026633
-0.34628,0,0.93784,7.4104,-0.46508,0.20347,-1.9738,0.46508,1.0643,0.045944,0,0.031575
-0.30522,0,0.95207,7.517,-0.50748,0.17876,-1.7203,0.50748,1.0798,0.060562,0,0.036513
-0.2691,0,0.96295,7.6036,-0.54241,0.15071,-1.4976,0.54241,1.097,0.077069,0,0.041376
-0.23629,0,0.97155,7.6742,-0.57118,0.11936,-1.2954,0.57118,1.1159,0.0954,0,0.046089
-0.20574,0,0.97849,7.7306,-0.59436,0.084799,-1.1074,0.59436,1.1365,0.11548,0,0.050574
-0.17676,0,0.98415,7.7735,-0.61207,0.047179,-0.92911,0.61207,1.1586,0.13723,0,0.054755
-0.14888,0,0.98876,7.8026,-0.62418,0.0067412,-0.75777,0.62418,1.1822,0.16054,0,0.058556
-0.12181,0,0.99246,7.8176,-0.6304,-0.036198,-0.59153,0.6304,1.2073,0.18533,0,0.061903
-0.09536,0,0.99536,7.8175,-0.63036,-0.081244,-0.42918,0.63036,1.2336,0.21148,0,0.064728
-0.069404,0,0.9975,7.8008,-0.62343,-0.12792,-0.26998,0.62343,1.261,0.23887,0,0.06697
-0.043878,0,0.99896,7.7648,-0.60849,-0.17564,-0.11352,0.60849,1.2896,0.26738,0,0.068573
-0.018752,0,0.99974,7.7023,-0.58269,-0.22366,0.040381,0.58269,1.3191,0.29688,0,0.069491
0.0036204,0,0.99994,7.6097,-0.54492,-0.2707,0.17734,0.54492,1.3495,0.32724,0,0.069685
0.019384,0,0.99979,7.508,-0.50388,-0.31548,0.2738,0.50388,1.3801,0.35788,0,0.06928
0.030721,0,0.99951,7.4211,-0.46926,-0.35807,0.34315,0.46926,1.4113,0.38904,0,0.068508
0.04139,0,0.99912,7.3479,-0.44042,-0.39905,0.40838,0.44042,1.4429,0.42065,0,0.067383
0.051495,0,0.99865,7.2802,-0.414,-0.43848,0.47016,0.414,1.4749,0.45259,0,0.06592
0.061078,0,0.99811,7.2154,-0.38893,-0.47629,0.52873,0.38893,1.5071,0.48471,0,0.064135
0.070179,0,0.99751,7.1523,-0.36474,-0.5124,0.58434,0.36474,1.5393,0.51688,0,0.062049
0.078836,0,0.99687,7.0902,-0.34115,-0.5467,0.63722,0.34115,1.5715,0.54897,0,0.059686
0.087084,0,0.99618,7.0289,-0.31804,-0.57908,0.6876,0.31804,1.6034,0.58084,0,0.05707
0.094957,0,0.99546,6.968,-0.2953,-0.60946,0.73567,0.2953,1.6351,0.61237,0,0.054229
0.10248,0,0.99471,6.9074,-0.27287,-0.63774,0.78163,0.27287,1.6663,0.64342,0,0.051192
0.10969,0,0.99394,6.8471,-0.25077,-0.66386,0.82563,0.25077,1.6969,0.67386,0,0.047989
0.1166,0,0.99315,6.7873,-0.229,-0.68776,0.8678,0.229,1.7268,0.70358,0,0.044652
0.12323,0,0.99234,6.7278,-0.20754,-0.70941,0.90826,0.20754,1.7559,0.73245,0,0.041213
0.1296,0,0.99153,6.6688,-0.18646,-0.72877,0.94707,0.18646,1.784,0.76034,0,0.037706
0.13569,0,0.99071,6.6106,-0.16586,-0.74585,0.98427,0.16586,1.8111,0.78716,0,0.034165
0.14153,0,0.98989,6.5537,-0.14586,-0.76065,1.0199,0.14586,1.8369,0.81278,0,0.030627
0.1471,0,0.98908,6.4985,-0.12665,-0.77322,1.0538,0.12665,1.8615,0.83711,0,0.027126
0.15238,0,0.98827,6.4459,-0.10847,-0.7836,1.086,0.10847,1.8847,0.86005,0,0.023697
0.15737,0,0.98749,6.3969,-0.091669,-0.79186,1.1165,0.091669,1.9064,0.88151,0,0.020378
0.16205,0,0.98673,6.3526,-0.076613,-0.79812,1.145,0.076613,1.9265,0.90139,0,0.017203
0.16639,0,0.986,6.3147,-0.063801,-0.80249,1.1714,0.063801,1.945,0.91963,0,0.014206
0.17037,0,0.98532,6.2848,-0.053746,-0.80514,1.1957,0.053746,1.9618,0.93614,0,0.011422
0.17397,0,0.98469,6.2646,-0.046974,-0.80624,1.2176,0.046974,1.9767,0.95087,0,0.0088809
0.17714,0,0.98412,6.2556,-0.043981,-0.80601,1.2369,0.043981,1.9898,0.96375,0,0.006613
0.17988,0,0.98362,6.2588,-0.045046,-0.80468,1.2536,0.045046,2.001,0.97474,0,0.0046452
0.18216,0,0.98319,6.2736,-0.050006,-0.80255,1.2675,0.050006,2.0101,0.98378,0,0.003001
0.18395,0,0.98286,6.298,-0.058208,-0.79991,1.2784,0.058208,2.0173,0.99086,0,0.0017005
0.18524,0,0.98262,6.3277,-0.068209,-0.79712,1.2863,0.068209,2.0225,0.99593,0,0.00075974
0.18603,0,0.98247,6.3758,-0.084571,-0.79461,1.2911,0.084571,2.0256,0.99898,0,0.00019053
0.097931,0,-0.008769,6.0923,0.0071085,-0.14389,0.59802,-0.0071085,2.0266,1,0,1.1059e-17
