"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","-Cp","arc_length","Points:0","Points:1","Points:2"
-0.39891,0,0.91555,9.0708,-1.1956,0.16875,-2.0991,-1.1956,1.0323,0.016206,0,0.014496
-0.31814,0,0.94738,8.8082,-1.0702,0.13936,-1.5938,-1.0702,1.042,0.025295,0,0.017844
-0.25932,0,0.96544,8.5837,-0.96588,0.10857,-1.2276,-0.96588,1.0535,0.036339,0,0.021051
-0.21447,0,0.97652,8.3966,-0.88104,0.076501,-0.94944,-0.88104,1.0668,0.049291,0,0.024098
-0.17888,0,0.98374,8.2395,-0.81126,0.043249,-0.72924,-0.81126,1.0819,0.064099,0,0.026965
-0.14965,0,0.98865,8.1053,-0.75271,0.0089512,-0.54881,-0.75271,1.0987,0.080702,0,0.029633
-0.12498,0,0.99209,7.9883,-0.70245,-0.026248,-0.39676,-0.70245,1.1172,0.099031,0,0.032083
-0.10368,0,0.99456,7.8841,-0.65832,-0.062187,-0.26571,-0.65832,1.1373,0.11901,0,0.034295
-0.084977,0,0.99634,7.7894,-0.61873,-0.098688,-0.15072,-0.61873,1.159,0.14056,0,0.036255
-0.068318,0,0.99763,7.7019,-0.58256,-0.13556,-0.048433,-0.58256,1.182,0.1636,0,0.037949
-0.053331,0,0.99855,7.6197,-0.54894,-0.17262,0.043494,-0.54894,1.2065,0.18801,0,0.039366
-0.039748,0,0.99919,7.5414,-0.51728,-0.20964,0.12674,-0.51728,1.2322,0.21372,0,0.0405
-0.027373,0,0.99961,7.4663,-0.4872,-0.24643,0.20252,-0.4872,1.2591,0.2406,0,0.041345
-0.016057,0,0.99986,7.3935,-0.45835,-0.28278,0.27177,-0.45835,1.2871,0.26855,0,0.041903
-0.0056878,0,0.99997,7.3226,-0.43052,-0.31849,0.33518,-0.43052,1.316,0.29745,0,0.042177
0.0038273,0,0.99998,7.2534,-0.4036,-0.35337,0.39333,-0.4036,1.3457,0.32719,0,0.042174
0.012565,0,0.99991,7.1856,-0.37746,-0.38723,0.44671,-0.37746,1.3762,0.35763,0,0.041903
0.020594,0,0.99978,7.1189,-0.35203,-0.41991,0.49573,-0.35203,1.4072,0.38866,0,0.041378
0.027953,0,0.9996,7.0534,-0.32726,-0.45125,0.54063,-0.32726,1.4387,0.42015,0,0.040612
0.034657,0,0.99939,6.9891,-0.30317,-0.48109,0.58152,-0.30317,1.4705,0.45197,0,0.039624
0.040743,0,0.99916,6.9263,-0.27986,-0.50934,0.61863,-0.27986,1.5026,0.48398,0,0.038431
0.046288,0,0.99892,6.8651,-0.25735,-0.53589,0.65243,-0.25735,1.5347,0.51605,0,0.037055
0.051385,0,0.99867,6.8056,-0.23563,-0.56069,0.68348,-0.23563,1.5667,0.54806,0,0.035518
0.056102,0,0.99842,6.7474,-0.2146,-0.58369,0.71222,-0.2146,1.5986,0.57986,0,0.03384
0.060487,0,0.99816,6.6905,-0.19421,-0.60486,0.73893,-0.19421,1.6301,0.61133,0,0.032041
0.064585,0,0.99791,6.6349,-0.17441,-0.62416,0.76387,-0.17441,1.6612,0.64235,0,0.030142
0.068435,0,0.99765,6.5802,-0.15516,-0.6416,0.78731,-0.15516,1.6917,0.67278,0,0.028163
0.072073,0,0.99739,6.5265,-0.13638,-0.65717,0.80944,-0.13638,1.7214,0.70249,0,0.026123
0.075528,0,0.99714,6.4738,-0.11808,-0.67089,0.83046,-0.11808,1.7504,0.73137,0,0.024041
0.078825,0,0.99688,6.4219,-0.10024,-0.6828,0.85052,-0.10024,1.7784,0.7593,0,0.021937
0.081981,0,0.99662,6.3711,-0.082884,-0.69291,0.86971,-0.082884,1.8053,0.78616,0,0.019831
0.085008,0,0.99637,6.3213,-0.066015,-0.70129,0.88812,-0.066015,1.8311,0.81185,0,0.01774
0.087912,0,0.99612,6.2728,-0.049741,-0.70799,0.90577,-0.049741,1.8556,0.83625,0,0.015683
0.090693,0,0.99587,6.2262,-0.034191,-0.71308,0.92267,-0.034191,1.8787,0.85926,0,0.01368
0.093344,0,0.99562,6.182,-0.019548,-0.71665,0.93878,-0.019548,1.9003,0.8808,0,0.011748
0.095855,0,0.99538,6.141,-0.0060702,-0.71879,0.95403,-0.0060702,1.9204,0.90078,0,0.0099071
0.098211,0,0.99515,6.1042,0.0059464,-0.71963,0.96835,0.0059464,1.9388,0.9191,0,0.0081744
0.1004,0,0.99493,6.0729,0.016113,-0.71928,0.98162,0.016113,1.9555,0.93571,0,0.0065677
0.10239,0,0.99472,6.0486,0.02399,-0.71791,0.99372,0.02399,1.9704,0.95053,0,0.0051039
0.10417,0,0.99454,6.0324,0.029202,-0.71568,1.0045,0.029202,1.9834,0.96349,0,0.0037991
0.10572,0,0.99437,6.0254,0.031439,-0.71279,1.0139,0.031439,1.9945,0.97455,0,0.0026679
0.10702,0,0.99423,6.0281,0.030575,-0.70946,1.0218,0.030575,2.0037,0.98366,0,0.0017232
0.10804,0,0.99412,6.0394,0.026948,-0.70597,1.0281,0.026948,2.0108,0.99079,0,0.0009763
0.10879,0,0.99404,6.056,0.021586,-0.70258,1.0326,0.021586,2.016,0.9959,0,0.00043616
0.10924,0,0.99399,6.0937,0.0093429,-0.69963,1.0353,0.0093429,2.0191,0.99897,0,0.00010938
0.097478,0,-0.0011722,6.1632,-0.013409,-0.13236,0.59528,-0.013409,2.0201,1,0,1.1102e-17
