"Normals:0","Normals:1","Normals:2","VELOCITY_1","VELOCITY_2","VELOCITY_3","VELOCITY_4","VELOCITY_5","VELOCITY_6","VELOCITY_7","VELOCITY_8","VELOCITY_9","VELOCITY_10","VELOCITY_11","VELOCITY_12","VELOCITY_13","VELOCITY_14","VELOCITY_15","VELOCITY_16","VELOCITY_17","VELOCITY_18","VELOCITY_19","VELOCITY_20","VELOCITY_21","CP_1","CP_2","CP_3","CP_4","CP_5","CP_6","CP_7","CP_8","CP_9","CP_10","CP_11","CP_12","CP_13","CP_14","CP_15","CP_16","CP_17","CP_18","CP_19","CP_20","CP_21","DIPOLE_1","DIPOLE_2","DIPOLE_3","DIPOLE_4","DIPOLE_5","DIPOLE_6","DIPOLE_7","DIPOLE_8","DIPOLE_9","DIPOLE_10","DIPOLE_11","DIPOLE_12","DIPOLE_13","DIPOLE_14","DIPOLE_15","DIPOLE_16","DIPOLE_17","DIPOLE_18","DIPOLE_19","DIPOLE_20","DIPOLE_21","SOURCE_1","SOURCE_2","SOURCE_3","SOURCE_4","SOURCE_5","SOURCE_6","SOURCE_7","SOURCE_8","SOURCE_9","SOURCE_10","SOURCE_11","SOURCE_12","SOURCE_13","SOURCE_14","SOURCE_15","SOURCE_16","SOURCE_17","SOURCE_18","SOURCE_19","SOURCE_20","SOURCE_21","Points:0","Points:1","Points:2"
-0.79519,0,-0.59279,14.563,13.581,12.594,11.603,10.609,9.6121,8.6118,7.6089,6.6037,5.5965,4.5875,3.5772,2.5658,1.5536,1.1165,1.2048,1.4846,2.4969,3.5084,4.5187,5.5278,-4.6588,-3.9205,-3.2315,-2.5924,-2.0041,-1.4674,-0.98279,-0.55094,-0.17237,0.15244,0.42314,0.63936,0.80085,0.90743,0.95894,0.95533,0.89662,0.78285,0.61418,0.39083,0.11302,0.27107,0.28479,0.29843,0.31198,0.32543,0.33878,0.35203,0.36517,0.3782,0.39112,0.40391,0.41659,0.42913,0.44155,0.45383,0.46598,0.47798,0.48983,0.50154,0.51309,0.52449,-4.1643,-4.2408,-4.316,-4.3899,-4.4625,-4.5337,-4.6035,-4.6719,-4.7389,-4.8044,-4.8685,-4.9311,-4.9922,-5.0518,-5.1098,-5.1663,-5.2212,-5.2745,-5.3262,-5.3763,-5.4248,0.004105,0,-0.0111
-0.9276,0,-0.33498,14.18,13.038,11.892,10.743,9.59,8.4342,7.2758,6.1152,4.9527,3.7888,2.6237,1.4578,1.3356,1.4008,2.0413,3.2068,4.3714,5.5346,6.6962,7.8557,9.0129,-4.3719,-3.5447,-2.7848,-2.0931,-1.4706,-0.91785,-0.43563,-0.024504,0.31502,0.58252,0.77769,0.90029,0.95015,0.92722,0.83153,0.66321,0.42244,0.10952,-0.27517,-0.73112,-1.2579,0.33908,0.34657,0.35397,0.36125,0.36842,0.37549,0.38243,0.38926,0.39598,0.40257,0.40904,0.41538,0.4216,0.42769,0.43365,0.43948,0.44517,0.45073,0.45615,0.46143,0.46657,-5.2368,-5.2884,-5.3385,-5.3869,-5.4337,-5.4788,-5.5223,-5.5641,-5.6042,-5.6425,-5.6792,-5.7141,-5.7473,-5.7787,-5.8084,-5.8363,-5.8625,-5.8868,-5.9094,-5.9301,-5.949,0.0010273,0,-0.0056318
-0.98377,0,0,12.256,11.041,9.8224,8.6011,7.3772,6.1511,4.9231,3.6936,2.4629,1.4198,1.42,1.4198,2.4633,3.6939,4.9235,6.1514,7.3776,8.6015,9.8228,11.041,12.256,-3.0591,-2.3044,-1.6266,-1.0266,-0.50511,-0.062764,0.29988,0.5824,0.78444,0.90575,0.94621,0.90574,0.78439,0.58233,0.29977,-0.06288,-0.50525,-1.0268,-1.6268,-2.3046,-3.0594,0.40459,0.40578,0.40684,0.40777,0.40859,0.40927,0.40984,0.41027,0.41059,0.41077,0.41084,0.41077,0.41059,0.41027,0.40984,0.40927,0.40859,0.40777,0.40684,0.40578,0.40459,-5.9316,-5.9489,-5.9644,-5.9782,-5.9901,-6.0001,-6.0084,-6.0148,-6.0194,-6.0221,-6.0231,-6.0221,-6.0194,-6.0148,-6.0084,-6.0001,-5.9901,-5.9782,-5.9644,-5.9489,-5.9316,0,0,0
-0.9276,0,0.33498,9.0125,7.8554,6.6958,5.5342,4.371,3.2064,2.0409,1.4008,1.3355,1.4581,2.624,3.7891,4.9531,6.1155,7.2762,8.4345,9.5903,10.743,11.893,13.039,14.181,-1.2577,-0.73099,-0.27503,0.10963,0.42252,0.66327,0.83157,0.92724,0.95015,0.90026,0.77765,0.58246,0.31493,-0.024611,-0.43578,-0.918,-1.4708,-2.0933,-2.785,-3.5449,-4.3722,0.46657,0.46143,0.45614,0.45072,0.44517,0.43947,0.43365,0.42769,0.4216,0.41538,0.40904,0.40257,0.39597,0.38926,0.38243,0.37548,0.36842,0.36125,0.35396,0.34657,0.33907,-5.949,-5.9301,-5.9094,-5.8868,-5.8625,-5.8363,-5.8084,-5.7787,-5.7473,-5.7141,-5.6792,-5.6425,-5.6042,-5.5641,-5.5223,-5.4788,-5.4337,-5.3869,-5.3385,-5.2884,-5.2368,0.0010273,0,0.0056318
-0.79519,0,0.59279,5.5275,4.5185,3.5081,2.4965,1.4843,1.2048,1.1165,1.5539,2.5661,3.5775,4.5878,5.5968,6.604,7.6092,8.6122,9.6124,10.61,11.604,12.594,13.581,14.564,0.11312,0.39089,0.61424,0.7829,0.89664,0.95534,0.95893,0.90741,0.80082,0.63932,0.42308,0.15236,-0.17246,-0.55106,-0.98295,-1.4675,-2.0043,-2.5926,-3.2317,-3.9207,-4.659,0.52449,0.51309,0.50153,0.48983,0.47797,0.46597,0.45383,0.44155,0.42913,0.41658,0.40391,0.39111,0.3782,0.36517,0.35203,0.33878,0.32542,0.31197,0.29843,0.28479,0.27106,-5.4248,-5.3763,-5.3262,-5.2745,-5.2212,-5.1663,-5.1098,-5.0518,-4.9922,-4.9311,-4.8685,-4.8044,-4.7389,-4.6719,-4.6035,-4.5337,-4.4625,-4.3899,-4.316,-4.2408,-4.1643,0.004105,0,0.0111
-0.6502,0,0.75432,2.6798,1.8341,1.0527,0.97495,0.89685,1.5516,2.3975,3.2427,4.0869,4.9298,5.7712,6.6109,7.4485,8.2839,9.1169,9.9469,10.774,11.598,12.418,13.234,14.047,0.76953,0.87618,0.9444,0.97411,0.96527,0.9179,0.83205,0.70783,0.54538,0.34492,0.10667,-0.16908,-0.48196,-0.83164,-1.2177,-1.6395,-2.0968,-2.5888,-3.1151,-3.6749,-4.2677,0.57859,0.56102,0.54329,0.52539,0.50733,0.48911,0.47075,0.45224,0.43359,0.41482,0.39591,0.37689,0.35775,0.3385,0.31915,0.2997,0.28016,0.26054,0.24083,0.22105,0.20121,-4.7223,-4.6543,-4.5848,-4.514,-4.4418,-4.3682,-4.2933,-4.2171,-4.1396,-4.0608,-3.9808,-3.8996,-3.8172,-3.7337,-3.649,-3.5632,-3.4763,-3.3883,-3.2994,-3.2094,-3.1184,0.0092204,0,0.016391
-0.52676,0,0.84757,0.85072,0.7899,0.79373,1.5012,2.2082,2.9145,3.62,4.3243,5.0274,5.7288,6.4286,7.1264,7.822,8.5152,9.2059,9.8937,10.579,11.26,11.938,12.613,13.284,0.97038,0.98316,0.96902,0.92799,0.86012,0.76548,0.6442,0.49642,0.32231,0.12211,-0.10397,-0.35562,-0.63256,-0.93445,-1.2609,-1.6115,-1.9859,-2.3836,-2.8041,-3.2469,-3.7114,0.62932,0.60566,0.58182,0.55779,0.5336,0.50925,0.48474,0.46008,0.43529,0.41036,0.3853,0.36013,0.33485,0.30946,0.28398,0.25842,0.23278,0.20706,0.18129,0.15545,0.12957,-4.0772,-3.9971,-3.9159,-3.8334,-3.7498,-3.6651,-3.5792,-3.4922,-3.4042,-3.3151,-3.2251,-3.134,-3.042,-2.9491,-2.8552,-2.7605,-2.665,-2.5686,-2.4715,-2.3736,-2.275,0.016353,0,0.021488
-0.42952,0,0.90183,0.83668,1.4367,2.0364,2.6355,3.2337,3.8309,4.427,5.0217,5.6149,6.2064,6.796,7.3835,7.9688,8.5517,9.132,9.7094,10.284,10.855,11.423,11.988,12.549,0.97147,0.93654,0.88232,0.80889,0.71634,0.60479,0.47435,0.3252,0.15752,-0.028488,-0.23261,-0.45458,-0.69414,-0.95098,-1.2248,-1.5153,-1.822,-2.1447,-2.4829,-2.8362,-3.2042,0.67693,0.64724,0.61735,0.58727,0.55701,0.52659,0.496,0.46526,0.43438,0.40337,0.37223,0.34099,0.30963,0.27819,0.24665,0.21505,0.18338,0.15165,0.11988,0.088066,0.056228,-3.5485,-3.4611,-3.3725,-3.283,-3.1924,-3.1009,-3.0084,-2.9151,-2.8208,-2.7257,-2.6297,-2.5329,-2.4354,-2.3371,-2.2381,-2.1385,-2.0381,-1.9372,-1.8357,-1.7336,-1.631,0.025472,0,0.026371
-0.35351,0,0.93475,1.8909,2.4078,2.9239,3.4392,3.9534,4.4665,4.9781,5.4883,5.9967,6.5033,7.008,7.5106,8.0108,8.5086,9.0038,9.4963,9.9859,10.472,10.956,11.436,11.912,0.89929,0.84085,0.76819,0.68142,0.58063,0.46594,0.33751,0.19548,0.040024,-0.12865,-0.31037,-0.5049,-0.71199,-0.9314,-1.1629,-1.4061,-1.6608,-1.9266,-2.2034,-2.4905,-2.7879,0.72152,0.68586,0.64999,0.61393,0.57767,0.54124,0.50465,0.4679,0.431,0.39398,0.35684,0.31959,0.28224,0.2448,0.20729,0.16972,0.13209,0.09443,0.056735,0.019026,-0.018692,-3.1252,-3.033,-2.9398,-2.8457,-2.7507,-2.6549,-2.5583,-2.4609,-2.3627,-2.2639,-2.1643,-2.0641,-1.9633,-1.8619,-1.7599,-1.6573,-1.5543,-1.4508,-1.3468,-1.2424,-1.1377,0.036542,0,0.031017
-0.29309,0,0.95567,2.6753,3.127,3.5778,4.0275,4.476,4.9231,5.3687,5.8127,6.2549,6.6952,7.1334,7.5695,8.0033,8.4347,8.8635,9.2895,9.7128,10.133,10.55,10.964,11.375,0.80602,0.73659,0.65641,0.56558,0.46421,0.35242,0.23035,0.09815,-0.044027,-0.19599,-0.35758,-0.52859,-0.70879,-0.898,-1.096,-1.3024,-1.5172,-1.7399,-1.9704,-2.2083,-2.4534,0.76317,0.72161,0.67983,0.63785,0.59567,0.55331,0.51078,0.4681,0.42527,0.38232,0.33924,0.29607,0.2528,0.20946,0.16605,0.12259,0.079097,0.035578,-0.0079536,-0.05148,-0.094993,-2.7832,-2.6877,-2.5913,-2.4941,-2.3962,-2.2976,-2.1982,-2.0982,-1.9975,-1.8963,-1.7944,-1.6921,-1.5892,-1.4858,-1.3819,-1.2777,-1.173,-1.068,-0.96267,-0.85705,-0.75116,0.049516,0,0.0354
