%eval_id interface         m_root          m_top         p_root          p_top         t_root          t_top           span      chord_tip    my_function 
1            NO_ID              0              0            0.4            0.4           0.12           0.12             10              1   -43.14845118 
2            NO_ID   0.0365328842 0.008184770964   0.3457823794   0.3644499321  0.08350298574  0.08468139225    5.022801119   0.8218405579    -30.2155064 
3            NO_ID 0.008712818897  0.03634719734    0.449382713   0.3752580798   0.1018913137   0.0873099656    6.227398743    1.389068189   -27.85084718 
4            NO_ID  0.02845264751 0.003646766466   0.4648159711   0.3620270472   0.1110039833   0.0839466296    10.85766204    1.472582369   -42.09157158 
5            NO_ID 0.009593872102  0.04420841476   0.3433072695    0.365278115   0.1252473914   0.1429074875    5.877442658    1.217875899   -26.60611678 
6            NO_ID  0.01701185068  0.01817445306   0.3321306458   0.3197637802   0.1394488857   0.1274218572    14.87914014     1.37083559    -42.4880147 
7            NO_ID 0.006688154096 0.007805893225   0.4745897016   0.4291154125  0.09495848138   0.1171965732    13.97224041      1.1444591   -46.56974517 
8            NO_ID  0.02120491575  0.04101893873   0.3212132544   0.4311672983   0.1250741028   0.1004461024    6.091908366   0.6703907303   -33.88382687 
9            NO_ID  0.03785023905  0.04896775314   0.3041081434   0.3455663505   0.0917786296  0.08342776491    5.063560107    1.325471534    -26.2583049 
10           NO_ID  0.03500385947 0.009866161509   0.3823059509   0.4161167095   0.1407378128   0.0904196314    12.53499222   0.5614220235   -44.27998184 
11           NO_ID  0.01599743574  0.01890251675   0.4783958258   0.3986442319   0.1197617316   0.1354234911    6.802145746    1.366356049   -29.89499465 
12           NO_ID  0.04230589179  0.03512338672   0.3750421474   0.3333715297   0.1063551409   0.1408532853    13.73796284    1.394147541   -40.86029405 
13           NO_ID  0.04688596087  0.01234440308   0.3895303788   0.4370766269  0.09640376089   0.1180092737    5.266259806     1.00285654   -30.07940167 
14           NO_ID  0.02549360931  0.02109170266   0.4529864347   0.3430085423  0.09559945936    0.110113482     7.47023814    1.229242019   -34.03526329 
15           NO_ID  0.01853046795  0.04157488353   0.4962697481   0.4056559601   0.1359027016  0.09670611114    6.372838068   0.8289400979   -33.14950498 
16           NO_ID  0.02481123785 0.002474586411   0.4614952165   0.3501029135   0.1078834953   0.1379059145    7.100598971   0.9766912425   -35.41016367 
17           NO_ID  0.03748565958  0.02148059973   0.3977587133   0.3306947187   0.1101478593   0.1150707166    9.790537513   0.9563984845   -41.62854777 
18           NO_ID  0.03446645766  0.02775393179    0.341326097   0.4677130473    0.133614911   0.1458099764     14.7532934   0.8602245075    -49.6220587 
19           NO_ID  0.01466483658  0.02190846676   0.3624034057   0.3140391471   0.1345808171   0.1397929046    7.764005946   0.9647940325    -36.6394584 
20           NO_ID  0.03966520475 0.003096189957   0.4506584084   0.4158705889  0.09294558986  0.09652881522    10.68534408   0.8577879241   -41.55923269 
21           NO_ID  0.01708197876  0.04681705453   0.3169418213   0.4411906506   0.1469424226   0.1412962933     7.40032123   0.7198920656   -35.12733327 
22           NO_ID  0.03629733437   0.0492988406   0.3624557141   0.3931861629   0.1429440759   0.1410842713    8.335463234    1.413057239   -30.10120302 
23           NO_ID  0.03765097856  0.04999664894   0.4747148303   0.3321531837   0.1494954705   0.1403723858    9.098209787    1.361189357   -32.72539752 
24           NO_ID 0.0004761048828 0.001894764673   0.4812394308   0.3911131849   0.1287545182   0.1471872163    11.50630086   0.6398481141   -47.89354832 
