-1.000000084801002664e+01 -1.057357899999999962e+00 1.472415799999999934e-02
-9.000000419434346810e+00 -9.524626699999999557e-01 1.203905400000000042e-02
-7.999999990858666088e+00 -8.471649300000000382e-01 9.616975700000000501e-03
-7.000000708198577115e+00 -7.414755200000000546e-01 7.464893200000000291e-03
-6.000000279622897281e+00 -6.354390399999999550e-01 5.587280299999999693e-03
-5.000000309413453969e+00 -5.291577600000000325e-01 3.994413199999999678e-03
-3.999999995429333044e+00 -4.226102800000000048e-01 2.686507800000000144e-03
-3.000000082515669408e+00 -3.158797300000000252e-01 1.669341300000000070e-03
-1.999999997714666522e+00 -2.090028100000000111e-01 9.460615699999999932e-04
-9.999999702094435339e-01 -1.020425100000000029e-01 5.189959199999999700e-04
0.000000000000000000e+00 4.971346800000000024e-03 3.892389599999999884e-04
9.999999702094435339e-01 1.119925499999999963e-01 5.572851499999999713e-04
1.999999997714666522e+00 2.189387399999999928e-01 1.022368100000000096e-03
3.000000082515669408e+00 3.258005099999999876e-01 1.783340800000000068e-03
3.999999995429333044e+00 4.325135399999999741e-01 2.837726400000000187e-03
5.000000309413453969e+00 5.390182700000000215e-01 4.181798500000000196e-03
6.000000279622897281e+00 6.453207699999999880e-01 5.813923200000000423e-03
7.000000708198577115e+00 7.512945500000000054e-01 7.725077700000000137e-03
7.999999990858666088e+00 8.569546900000000189e-01 9.913364399999999299e-03
9.000000419434346810e+00 9.622138700000000266e-01 1.236864699999999997e-02
1.000000084801002664e+01 1.067067299999999941e+00 1.508857800000000006e-02
