"Normals:0","Normals:1","Normals:2","VELOCITY_1","VELOCITY_2","VELOCITY_3","VELOCITY_4","VELOCITY_5","VELOCITY_6","VELOCITY_7","VELOCITY_8","VELOCITY_9","VELOCITY_10","VELOCITY_11","CP_1","CP_2","CP_3","CP_4","CP_5","CP_6","CP_7","CP_8","CP_9","CP_10","CP_11","DIPOLE_1","DIPOLE_2","DIPOLE_3","DIPOLE_4","DIPOLE_5","DIPOLE_6","DIPOLE_7","DIPOLE_8","DIPOLE_9","DIPOLE_10","DIPOLE_11","SOURCE_1","SOURCE_2","SOURCE_3","SOURCE_4","SOURCE_5","SOURCE_6","SOURCE_7","SOURCE_8","SOURCE_9","SOURCE_10","SOURCE_11","Points:0","Points:1","Points:2"
-0.06006,0,-0.99819,5.287,5.2655,5.2424,5.2177,5.1913,5.1634,5.134,5.103,5.0704,5.0362,5.0006,0.25429,0.26035,0.26682,0.27372,0.28104,0.28874,0.29682,0.30531,0.31414,0.32335,0.33289,0.15076,0.30254,0.45423,0.60577,0.75715,0.90829,1.0591,1.2097,1.3598,1.5096,1.6589,0.16632,0.059487,-0.047368,-0.15421,-0.261,-0.36772,-0.47432,-0.58078,-0.68706,-0.79313,-0.89896,0.88493,0,0.0089738
-0.053648,0,-0.99855,5.3064,5.2817,5.2555,5.2276,5.1981,5.167,5.1344,5.1002,5.0645,5.0272,4.9884,0.24881,0.25578,0.26316,0.27095,0.27916,0.28775,0.29671,0.30605,0.31573,0.32578,0.33615,0.1334,0.28465,0.4358,0.58681,0.73767,0.88829,1.0386,1.1887,1.3383,1.4876,1.6364,0.20563,0.098808,-0.0080437,-0.11489,-0.22171,-0.32845,-0.4351,-0.54162,-0.64797,-0.75412,-0.86004,0.86386,0,0.010176
-0.046812,0,-0.9989,5.3258,5.298,5.2686,5.2376,5.205,5.1707,5.135,5.0976,5.0588,5.0183,4.9763,0.24329,0.25118,0.25947,0.26816,0.27726,0.28673,0.29656,0.30676,0.31729,0.32817,0.33936,0.11526,0.26584,0.41633,0.5667,0.7169,0.86689,1.0166,1.166,1.315,1.4637,1.6119,0.24751,0.1407,0.03386,-0.072994,-0.17983,-0.2866,-0.39329,-0.49986,-0.60628,-0.71251,-0.81853,0.84127,0,0.011314
-0.039609,0,-0.99921,5.3462,5.3153,5.2827,5.2485,5.2127,5.1753,5.1364,5.0958,5.0538,5.0101,4.965,0.23748,0.24629,0.25551,0.26511,0.27511,0.28547,0.29618,0.30725,0.31863,0.33035,0.34236,0.09647,0.24625,0.39595,0.54553,0.69496,0.84417,0.9931,1.1418,1.29,1.438,1.5854,0.2916,0.18483,0.077999,-0.028855,-0.1357,-0.2425,-0.34923,-0.45586,-0.56234,-0.66866,-0.77477,0.81723,0,0.012356
-0.032106,0,-0.99948,5.3685,5.3343,5.2985,5.2611,5.222,5.1814,5.1393,5.0955,5.0502,5.0033,4.955,0.23113,0.24089,0.25104,0.26158,0.2725,0.28378,0.29539,0.30734,0.3196,0.33216,0.34502,0.077217,0.22605,0.37482,0.52346,0.67197,0.82026,0.96828,1.116,1.2634,1.4104,1.557,0.33751,0.23077,0.12396,0.017109,-0.089744,-0.19657,-0.30334,-0.41001,-0.51656,-0.62295,-0.72915,0.79183,0,0.013269
-0.024382,0,-0.9997,5.3932,5.3558,5.3167,5.276,5.2336,5.1897,5.1442,5.0971,5.0485,4.9983,4.9466,0.22402,0.23476,0.2459,0.2574,0.26928,0.2815,0.29404,0.30691,0.32006,0.33351,0.34722,0.057701,0.20544,0.35311,0.50067,0.64809,0.79531,0.94227,1.089,1.2353,1.3813,1.5268,0.38473,0.27804,0.17125,0.064418,-0.042437,-0.14928,-0.25607,-0.36279,-0.4694,-0.57587,-0.68215,0.76515,0,0.014024
-0.016525,0,-0.99986,5.421,5.3801,5.3376,5.2935,5.2477,5.2003,5.1514,5.1009,5.0489,4.9952,4.9402,0.21601,0.22779,0.23995,0.25246,0.26533,0.27854,0.29205,0.30587,0.31995,0.33432,0.34893,0.038145,0.18462,0.33103,0.47735,0.62352,0.76951,0.91524,1.0607,1.2058,1.3506,1.495,0.43274,0.32609,0.21934,0.11253,0.0056761,-0.10118,-0.208,-0.31475,-0.42141,-0.52795,-0.63432,0.73731,0,0.014594
-0.0086352,0,-0.99995,5.4522,5.4077,5.3617,5.314,5.2647,5.2138,5.1613,5.1072,5.0516,4.9944,4.9357,0.20697,0.21984,0.23307,0.24665,0.26057,0.27481,0.28934,0.30416,0.31923,0.33456,0.3501,0.018793,0.16383,0.30882,0.45371,0.59847,0.74305,0.88738,1.0315,1.1752,1.3186,1.4616,0.48092,0.37432,0.26761,0.16082,0.053986,-0.052869,-0.15971,-0.2665,-0.37321,-0.4798,-0.58625,0.7084,0,0.014958
-0.00082036,0,-0.99999,5.4871,5.439,5.3893,5.3379,5.2848,5.2302,5.1739,5.1161,5.0568,4.9958,4.9334,0.19676,0.21078,0.22516,0.23987,0.25491,0.27024,0.28584,0.30172,0.31783,0.33417,0.3507,-9.4503e-05,0.14333,0.28671,0.43,0.57317,0.71615,0.85891,1.0014,1.1436,1.2855,1.4269,0.5286,0.42207,0.31541,0.20865,0.10183,-0.0050226,-0.11187,-0.21869,-0.32544,-0.43209,-0.53861,0.67855,0,0.015098
0.006803,0,-0.99997,5.5261,5.4741,5.4204,5.3651,5.3081,5.2496,5.1894,5.1277,5.0644,4.9995,4.9331,0.18531,0.20057,0.21617,0.23209,0.24831,0.26481,0.28156,0.29857,0.31578,0.33319,0.35078,-0.018248,0.12337,0.26496,0.40646,0.54785,0.68906,0.83005,0.97081,1.1113,1.2514,1.3911,0.57508,0.46862,0.36201,0.25529,0.14849,0.041651,-0.065204,-0.17204,-0.27882,-0.38552,-0.4921,0.64786,0,0.015004
