"Normals:0","Normals:1","Normals:2","VELOCITY_1","VELOCITY_2","VELOCITY_3","VELOCITY_4","VELOCITY_5","VELOCITY_6","VELOCITY_7","VELOCITY_8","VELOCITY_9","VELOCITY_10","VELOCITY_11","VELOCITY_12","VELOCITY_13","VELOCITY_14","VELOCITY_15","VELOCITY_16","VELOCITY_17","VELOCITY_18","VELOCITY_19","VELOCITY_20","VELOCITY_21","CP_1","CP_2","CP_3","CP_4","CP_5","CP_6","CP_7","CP_8","CP_9","CP_10","CP_11","CP_12","CP_13","CP_14","CP_15","CP_16","CP_17","CP_18","CP_19","CP_20","CP_21","DIPOLE_1","DIPOLE_2","DIPOLE_3","DIPOLE_4","DIPOLE_5","DIPOLE_6","DIPOLE_7","DIPOLE_8","DIPOLE_9","DIPOLE_10","DIPOLE_11","DIPOLE_12","DIPOLE_13","DIPOLE_14","DIPOLE_15","DIPOLE_16","DIPOLE_17","DIPOLE_18","DIPOLE_19","DIPOLE_20","DIPOLE_21","SOURCE_1","SOURCE_2","SOURCE_3","SOURCE_4","SOURCE_5","SOURCE_6","SOURCE_7","SOURCE_8","SOURCE_9","SOURCE_10","SOURCE_11","SOURCE_12","SOURCE_13","SOURCE_14","SOURCE_15","SOURCE_16","SOURCE_17","SOURCE_18","SOURCE_19","SOURCE_20","SOURCE_21","Points:0","Points:1","Points:2"
0.12977,0,-0.018795,6.1985,6.1962,6.1936,6.1904,6.1867,6.1826,6.178,6.1729,6.1674,6.1614,6.1549,6.1479,6.1405,6.1326,6.1243,6.1154,6.1062,6.0964,6.0862,6.0755,6.0644,-0.02525,-0.02435,-0.023377,-0.022313,-0.021165,-0.019928,-0.018613,-0.017219,-0.015752,-0.01419,-0.012545,-0.010814,-0.0090009,-0.0071193,-0.0051728,-0.0031121,-0.0010084,0.0011813,0.0034623,0.005826,0.0082574,-0.19004,-0.19127,-0.1925,-0.19371,-0.1949,-0.19608,-0.19724,-0.19839,-0.19952,-0.20064,-0.20174,-0.20283,-0.2039,-0.20496,-0.206,-0.20702,-0.20803,-0.20903,-0.21,-0.21097,-0.21191,0.80149,0.80107,0.80058,0.80003,0.79942,0.79875,0.79802,0.79723,0.79637,0.79546,0.79449,0.79345,0.79236,0.7912,0.78999,0.78871,0.78738,0.78598,0.78452,0.78301,0.78143,1,0,1.5112e-17
-0.011499,0,-0.99993,6.2654,6.2293,6.1924,6.1553,6.1176,6.0798,6.0411,6.0021,5.9622,5.9224,5.882,5.8414,5.8004,5.7586,5.7161,5.6739,5.6306,5.5869,5.5432,5.4992,5.4546,-0.047251,-0.035243,-0.022991,-0.010759,0.0015702,0.013885,0.026386,0.03892,0.051659,0.064282,0.076994,0.089717,0.10245,0.11533,0.12834,0.14117,0.15422,0.16728,0.18026,0.19321,0.20624,-0.17442,-0.10404,-0.033635,0.036771,0.10716,0.17754,0.24793,0.31827,0.38864,0.45892,0.52919,0.59942,0.6696,0.73972,0.8098,0.87983,0.94975,1.0196,1.0894,1.1591,1.2288,0.46344,0.41014,0.35682,0.30347,0.2501,0.1967,0.1433,0.089878,0.036453,-0.016975,-0.070402,-0.12382,-0.17724,-0.23063,-0.28402,-0.33737,-0.39071,-0.44401,-0.49728,-0.55051,-0.60371,0.99899,0,1.1237e-05
-0.011363,0,-0.99994,6.211,6.1783,6.1447,6.1109,6.0766,6.0421,6.0068,5.9711,5.9346,5.8981,5.8611,5.8238,5.7861,5.7477,5.7086,5.6697,5.6298,5.5895,5.5492,5.5085,5.4672,-0.029162,-0.018354,-0.0073029,0.0037468,0.014901,0.026061,0.03741,0.048805,0.060413,0.071923,0.083536,0.095176,0.10684,0.11866,0.13062,0.14243,0.15445,0.16651,0.17851,0.1905,0.20258,-0.17768,-0.1072,-0.0367,0.0338,0.10428,0.17476,0.24524,0.31568,0.38614,0.45652,0.52689,0.59721,0.66749,0.7377,0.80789,0.87801,0.94803,1.018,1.0879,1.1577,1.2274,0.46427,0.41098,0.35766,0.3043,0.25093,0.19754,0.14413,0.090713,0.037288,-0.01614,-0.069567,-0.12299,-0.1764,-0.2298,-0.28318,-0.33654,-0.38988,-0.44318,-0.49645,-0.54968,-0.60287,0.99597,0,4.4643e-05
-0.011129,0,-0.99994,6.162,6.1311,6.0994,6.0675,6.0351,6.0024,5.969,5.9352,5.9006,5.866,5.8309,5.7954,5.7597,5.7232,5.686,5.6489,5.611,5.5726,5.5342,5.4954,5.456,-0.012967,-0.0028498,0.0074995,0.017863,0.028334,0.038822,0.049493,0.06022,0.071151,0.082009,0.092966,0.10396,0.115,0.12618,0.1375,0.1487,0.1601,0.17154,0.18294,0.19435,0.20585,-0.18231,-0.11176,-0.041198,0.02937,0.099918,0.17046,0.24101,0.31152,0.38205,0.4525,0.52294,0.59333,0.66367,0.73396,0.80421,0.87441,0.9445,1.0146,1.0845,1.1544,1.2242,0.46569,0.4124,0.35908,0.30573,0.25236,0.19897,0.14556,0.092142,0.038717,-0.014712,-0.068139,-0.12156,-0.17497,-0.22837,-0.28175,-0.33511,-0.38845,-0.44175,-0.49503,-0.54826,-0.60145,0.99095,0,9.9292e-05
-0.01079,0,-0.99994,6.1148,6.0862,6.0567,6.0271,5.9969,5.9665,5.9354,5.9039,5.8715,5.8392,5.8064,5.7732,5.7397,5.7054,5.6706,5.6358,5.6001,5.5641,5.5279,5.4914,5.4543,0.0024882,0.011804,0.02134,0.030907,0.040584,0.050291,0.060178,0.070128,0.080279,0.090377,0.10058,0.11083,0.12114,0.13158,0.14216,0.15266,0.16334,0.17408,0.18479,0.19553,0.20636,-0.18787,-0.11728,-0.046671,0.023944,0.09454,0.16513,0.23573,0.30629,0.37687,0.44737,0.51786,0.5883,0.65869,0.72904,0.79934,0.86958,0.93973,1.0098,1.0799,1.1498,1.2196,0.46776,0.41448,0.36115,0.30781,0.25443,0.20104,0.14764,0.094218,0.040793,-0.012635,-0.066062,-0.11948,-0.1729,-0.2263,-0.27968,-0.33304,-0.38638,-0.43968,-0.49296,-0.54619,-0.59939,0.98395,0,0.00017359
-0.010334,0,-0.99995,6.0726,6.0462,6.019,5.9916,5.9636,5.9354,5.9065,5.8773,5.8472,5.8172,5.7865,5.7556,5.7243,5.6923,5.6597,5.6271,5.5938,5.56,5.526,5.4917,5.4569,0.016198,0.024741,0.033492,0.042288,0.051199,0.060153,0.069284,0.078481,0.087878,0.097242,0.10672,0.11625,0.12584,0.13558,0.14545,0.15526,0.16525,0.1753,0.18535,0.19543,0.20561,-0.19411,-0.12349,-0.052856,0.017784,0.088406,0.15902,0.22965,0.30023,0.37084,0.44137,0.51188,0.58235,0.65278,0.72315,0.79349,0.86376,0.93394,1.0041,1.0741,1.1441,1.214,0.47055,0.41726,0.36394,0.31059,0.25722,0.20383,0.15043,0.09701,0.043586,-0.0098424,-0.06327,-0.11669,-0.17011,-0.22351,-0.27689,-0.33025,-0.38359,-0.4369,-0.49017,-0.54341,-0.59661,0.97498,0,0.0002652
-0.009748,0,-0.99995,6.0371,6.0127,5.9875,5.962,5.9361,5.9099,5.883,5.8557,5.8277,5.7997,5.7711,5.7421,5.7128,5.6828,5.6523,5.6217,5.5903,5.5586,5.5266,5.4943,5.4615,0.027679,0.035539,0.043596,0.051712,0.059943,0.068233,0.076692,0.085226,0.093953,0.10267,0.11149,0.12039,0.12935,0.13846,0.14769,0.1569,0.16627,0.17571,0.18517,0.19467,0.20427,-0.20082,-0.13021,-0.059575,0.011062,0.081682,0.1523,0.22293,0.29351,0.36411,0.43464,0.50516,0.57563,0.64606,0.71643,0.78677,0.85705,0.92723,0.99737,1.0674,1.1374,1.2073,0.47413,0.42084,0.36752,0.31418,0.26081,0.20742,0.15401,0.1006,0.047174,-0.0062541,-0.059682,-0.1131,-0.16652,-0.21992,-0.27331,-0.32667,-0.38001,-0.43332,-0.4866,-0.53984,-0.59304,0.9641,0,0.00037099
-0.0090185,0,-0.99996,6.0087,5.9859,5.9624,5.9386,5.9144,5.8898,5.8646,5.839,5.8127,5.7863,5.7594,5.7321,5.7044,5.6761,5.6473,5.6183,5.5887,5.5587,5.5284,5.4977,5.4665,0.036814,0.04411,0.051594,0.059148,0.066818,0.074558,0.082464,0.090451,0.098621,0.10679,0.11509,0.12346,0.1319,0.14048,0.14919,0.15789,0.16675,0.17569,0.18465,0.19367,0.20279,-0.20787,-0.13729,-0.066698,0.0039034,0.074489,0.14507,0.21566,0.28621,0.35678,0.42728,0.49777,0.56821,0.6386,0.70895,0.77925,0.8495,0.91966,0.98977,1.0598,1.1297,1.1996,0.47858,0.4253,0.37198,0.31864,0.26527,0.21188,0.15848,0.10506,0.05164,-0.0017874,-0.055215,-0.10864,-0.16205,-0.21546,-0.26884,-0.32221,-0.37555,-0.42886,-0.48214,-0.53539,-0.58859,0.95133,0,0.00048693
-0.0081326,0,-0.99997,5.9871,5.9656,5.9434,5.9209,5.898,5.8747,5.8507,5.8265,5.8015,5.7764,5.7507,5.7247,5.6983,5.6714,5.6439,5.6162,5.5879,5.5591,5.5301,5.5008,5.4709,0.043715,0.050581,0.057623,0.064746,0.071989,0.079307,0.086787,0.094352,0.10209,0.10985,0.11774,0.1257,0.13375,0.14192,0.15023,0.15854,0.167,0.17555,0.18413,0.19277,0.20152,-0.21515,-0.14464,-0.074124,-0.0035961,0.066916,0.13743,0.20795,0.27843,0.34892,0.41935,0.48977,0.56014,0.63047,0.70075,0.77098,0.84117,0.91126,0.9813,1.0513,1.1211,1.1909,0.48399,0.43071,0.3774,0.32406,0.27069,0.2173,0.1639,0.11049,0.057064,0.0036365,-0.049791,-0.10322,-0.15663,-0.21004,-0.26342,-0.31679,-0.37014,-0.42345,-0.47674,-0.52998,-0.58319,0.93672,0,0.00060805
-0.0070794,0,-0.99997,5.972,5.9513,5.9301,5.9085,5.8865,5.864,5.8411,5.8177,5.7937,5.7694,5.7447,5.7196,5.6941,5.6681,5.6415,5.6147,5.5874,5.5595,5.5314,5.503,5.474,0.048547,0.055112,0.061844,0.068664,0.075605,0.08263,0.089809,0.097079,0.10452,0.11199,0.11958,0.12726,0.13502,0.14291,0.15093,0.15898,0.16715,0.17543,0.18375,0.19213,0.20061,-0.22255,-0.15217,-0.081764,-0.011353,0.059044,0.12944,0.19985,0.27021,0.34059,0.41091,0.48121,0.55147,0.62169,0.69186,0.76199,0.83206,0.90204,0.97198,1.0418,1.1116,1.1813,0.49041,0.43714,0.38383,0.33049,0.27713,0.22375,0.17035,0.11693,0.063512,0.010085,-0.043343,-0.096768,-0.15019,-0.20359,-0.25698,-0.31035,-0.3637,-0.41702,-0.47031,-0.52356,-0.57677,0.92033,0,0.00072843
