"Normals:0","Normals:1","Normals:2","VELOCITY_1","VELOCITY_2","VELOCITY_3","VELOCITY_4","VELOCITY_5","VELOCITY_6","VELOCITY_7","VELOCITY_8","VELOCITY_9","VELOCITY_10","VELOCITY_11","VELOCITY_12","VELOCITY_13","VELOCITY_14","VELOCITY_15","VELOCITY_16","VELOCITY_17","VELOCITY_18","VELOCITY_19","VELOCITY_20","VELOCITY_21","CP_1","CP_2","CP_3","CP_4","CP_5","CP_6","CP_7","CP_8","CP_9","CP_10","CP_11","CP_12","CP_13","CP_14","CP_15","CP_16","CP_17","CP_18","CP_19","CP_20","CP_21","DIPOLE_1","DIPOLE_2","DIPOLE_3","DIPOLE_4","DIPOLE_5","DIPOLE_6","DIPOLE_7","DIPOLE_8","DIPOLE_9","DIPOLE_10","DIPOLE_11","DIPOLE_12","DIPOLE_13","DIPOLE_14","DIPOLE_15","DIPOLE_16","DIPOLE_17","DIPOLE_18","DIPOLE_19","DIPOLE_20","DIPOLE_21","SOURCE_1","SOURCE_2","SOURCE_3","SOURCE_4","SOURCE_5","SOURCE_6","SOURCE_7","SOURCE_8","SOURCE_9","SOURCE_10","SOURCE_11","SOURCE_12","SOURCE_13","SOURCE_14","SOURCE_15","SOURCE_16","SOURCE_17","SOURCE_18","SOURCE_19","SOURCE_20","SOURCE_21","Points:0","Points:1","Points:2"
0.10672,0,-0.039925,9.4813,9.6316,9.7748,9.9209,10.062,10.195,10.333,10.463,10.592,10.721,10.843,10.956,11.073,11.191,11.284,11.392,11.491,11.604,11.688,11.794,11.87,-1.9393,-2.0057,-2.0695,-2.1356,-2.1998,-2.2613,-2.3252,-2.3865,-2.4474,-2.5093,-2.5677,-2.6221,-2.6793,-2.737,-2.7812,-2.8345,-2.8839,-2.9408,-2.9816,-3.0359,-3.0723,-0.23961,-0.24544,-0.25119,-0.25686,-0.26246,-0.26797,-0.27341,-0.27876,-0.28402,-0.28921,-0.2943,-0.2993,-0.3042,-0.30903,-0.31374,-0.31837,-0.3229,-0.32734,-0.33167,-0.33591,-0.34004,0.6859,0.68357,0.68104,0.6783,0.67535,0.6722,0.66884,0.66528,0.66151,0.65755,0.65338,0.64902,0.64445,0.63969,0.63474,0.62959,0.62425,0.61872,0.613,0.6071,0.60101,1,0,1.4291e-17
-0.2409,0,-0.97055,10.96,11.041,11.116,11.192,11.262,11.327,11.393,11.453,11.51,11.565,11.615,11.659,11.702,11.745,11.772,11.805,11.833,11.866,11.881,11.908,11.915,-2.4486,-2.5005,-2.549,-2.598,-2.6442,-2.687,-2.7303,-2.7704,-2.8087,-2.8465,-2.8804,-2.91,-2.9403,-2.9697,-2.9881,-3.0118,-3.0314,-3.0552,-3.066,-3.0853,-3.0908,-0.10453,0.04318,0.19085,0.33849,0.48601,0.6334,0.78059,0.92752,1.0742,1.2206,1.3665,1.5121,1.6571,1.8018,1.9458,2.0892,2.232,2.3742,2.5156,2.6562,2.7961,-0.42062,-0.52715,-0.63353,-0.73971,-0.84567,-0.95136,-1.0568,-1.1619,-1.2666,-1.3709,-1.4749,-1.5783,-1.6813,-1.7838,-1.8858,-1.9871,-2.0879,-2.188,-2.2875,-2.3863,-2.4843,0.99902,0,0.00025743
-0.23943,0,-0.97091,7.1183,7.1602,7.1993,7.2371,7.2724,7.3048,7.3361,7.3646,7.3909,7.4156,7.4376,7.4563,7.4741,7.4899,7.5,7.5112,7.5191,7.5276,7.5291,7.5329,7.5299,-0.36956,-0.38608,-0.40158,-0.41672,-0.43096,-0.44408,-0.45686,-0.4686,-0.47946,-0.48979,-0.49901,-0.50692,-0.51454,-0.52135,-0.52582,-0.53082,-0.53444,-0.53837,-0.53938,-0.54138,-0.54057,-0.10801,0.039886,0.18774,0.33557,0.48327,0.63084,0.77822,0.92534,1.0722,1.2188,1.3649,1.5106,1.6559,1.8007,1.9449,2.0885,2.2315,2.3739,2.5155,2.6563,2.7963,-0.4114,-0.51795,-0.62434,-0.73054,-0.83651,-0.94224,-1.0477,-1.1528,-1.2576,-1.3619,-1.4659,-1.5694,-1.6725,-1.775,-1.877,-1.9784,-2.0792,-2.1794,-2.2789,-2.3778,-2.4759,0.99609,0,0.0010257
-0.23699,0,-0.97151,6.0447,6.0676,6.0884,6.1077,6.1251,6.1403,6.154,6.1657,6.1754,6.1836,6.1897,6.1936,6.1961,6.1967,6.1942,6.1913,6.1858,6.1796,6.1698,6.1598,6.1463,0.023457,0.01598,0.0091472,0.0027847,-0.002971,-0.0080241,-0.012606,-0.016552,-0.019843,-0.022633,-0.024744,-0.026117,-0.02702,-0.027308,-0.026571,-0.02571,-0.023971,-0.022033,-0.018893,-0.015689,-0.011316,-0.1134,0.034658,0.18268,0.33067,0.47854,0.62628,0.77383,0.92113,1.0682,1.2149,1.3612,1.5071,1.6526,1.7976,1.9419,2.0857,2.2289,2.3715,2.5132,2.6543,2.7945,-0.39607,-0.50264,-0.60905,-0.71528,-0.82129,-0.92705,-1.0325,-1.1377,-1.2425,-1.347,-1.451,-1.5546,-1.6577,-1.7603,-1.8624,-1.9639,-2.0648,-2.165,-2.2647,-2.3636,-2.4618,0.9912,0,0.0022926
-0.23359,0,-0.97233,5.682,5.6949,5.706,5.7155,5.7232,5.729,5.7332,5.7357,5.7363,5.7354,5.7326,5.728,5.7217,5.7137,5.7036,5.6923,5.6789,5.6643,5.6473,5.6293,5.6088,0.13839,0.13446,0.13106,0.12815,0.12578,0.12399,0.12267,0.12188,0.12166,0.12193,0.12275,0.12414,0.12603,0.12844,0.1315,0.1349,0.13894,0.14333,0.14841,0.15383,0.15994,-0.12044,0.027771,0.17594,0.32409,0.47212,0.62002,0.76773,0.91519,1.0624,1.2093,1.3558,1.5019,1.6475,1.7926,1.9372,2.0812,2.2245,2.3672,2.5092,2.6504,2.7908,-0.37468,-0.48128,-0.58772,-0.69399,-0.80005,-0.90586,-1.0114,-1.1166,-1.2215,-1.326,-1.4301,-1.5338,-1.637,-1.7397,-1.8419,-1.9435,-2.0446,-2.145,-2.2447,-2.3438,-2.4422,0.98439,0,0.0040383
-0.22923,0,-0.97337,5.5227,5.5288,5.5332,5.536,5.5371,5.5364,5.5341,5.5302,5.5244,5.5171,5.5081,5.4973,5.485,5.4709,5.4551,5.4378,5.4187,5.3982,5.3757,5.3519,5.326,0.18626,0.18443,0.18312,0.1823,0.18197,0.18216,0.18282,0.18398,0.18567,0.18781,0.19045,0.1936,0.19719,0.20128,0.2059,0.21091,0.21643,0.22234,0.22879,0.23558,0.24293,-0.12902,0.019314,0.16762,0.3159,0.46407,0.6121,0.75996,0.90756,1.0549,1.202,1.3486,1.4948,1.6406,1.7859,1.9306,2.0748,2.2183,2.3612,2.5033,2.6447,2.7852,-0.3473,-0.45393,-0.56042,-0.66674,-0.77285,-0.87873,-0.98434,-1.0897,-1.1946,-1.2992,-1.4035,-1.5073,-1.6106,-1.7134,-1.8158,-1.9175,-2.0187,-2.1193,-2.2192,-2.3184,-2.417,0.97566,0,0.006235
-0.22393,0,-0.9746,5.435,5.4358,5.4351,5.4326,5.4286,5.4228,5.4154,5.4064,5.3956,5.3833,5.3694,5.3538,5.3367,5.3178,5.2972,5.2752,5.2515,5.2263,5.1993,5.171,5.1407,0.21194,0.21168,0.21189,0.2126,0.21377,0.21544,0.21756,0.22015,0.22326,0.22679,0.23078,0.23524,0.24012,0.24548,0.2513,0.25749,0.26414,0.27119,0.27869,0.28651,0.29483,-0.13917,0.0092575,0.15766,0.30604,0.45431,0.60245,0.75041,0.89812,1.0456,1.1927,1.3395,1.4859,1.6318,1.7772,1.922,2.0663,2.21,2.353,2.4952,2.6368,2.7775,-0.31405,-0.42071,-0.52724,-0.63362,-0.7398,-0.84575,-0.95145,-1.0569,-1.1619,-1.2667,-1.371,-1.475,-1.5784,-1.6814,-1.7839,-1.8859,-1.9872,-2.088,-2.1881,-2.2876,-2.3863,0.96505,0,0.0088481
-0.21771,0,-0.97601,5.3775,5.3739,5.3688,5.362,5.3537,5.3436,5.332,5.3187,5.3038,5.2872,5.2691,5.2494,5.2281,5.2052,5.1806,5.1546,5.127,5.0978,5.0669,5.0347,5.0008,0.22854,0.22955,0.23101,0.23295,0.23534,0.23821,0.24152,0.24528,0.24952,0.25418,0.25927,0.26481,0.27075,0.27713,0.28393,0.29109,0.29868,0.30664,0.31499,0.32366,0.33275,-0.15095,-0.0024726,0.14598,0.29441,0.44273,0.59093,0.73896,0.88674,1.0343,1.1815,1.3283,1.4748,1.6208,1.7663,1.9112,2.0556,2.1993,2.3425,2.4848,2.6264,2.7673,-0.27504,-0.38174,-0.48832,-0.59476,-0.70101,-0.80706,-0.91285,-1.0184,-1.1236,-1.2284,-1.3329,-1.437,-1.5407,-1.6438,-1.7465,-1.8487,-1.9502,-2.0512,-2.1516,-2.2513,-2.3503,0.95258,0,0.011836
-0.21059,0,-0.97756,5.3351,5.3278,5.3188,5.3082,5.296,5.2822,5.2668,5.2498,5.2311,5.2108,5.1891,5.1657,5.1407,5.1142,5.0861,5.0565,5.0253,4.9926,4.9583,4.9226,4.8853,0.24064,0.24274,0.24528,0.24828,0.25173,0.25563,0.25996,0.26474,0.26995,0.27559,0.28163,0.28809,0.29494,0.3022,0.30984,0.31784,0.32623,0.33496,0.34406,0.35347,0.36322,-0.1644,-0.015943,0.1325,0.28092,0.42924,0.57744,0.72547,0.87326,1.0208,1.1681,1.3149,1.4614,1.6074,1.7529,1.8979,2.0423,2.1861,2.3293,2.4717,2.6134,2.7543,-0.23044,-0.33718,-0.44382,-0.55032,-0.65666,-0.76279,-0.86869,-0.97433,-1.0797,-1.1847,-1.2893,-1.3936,-1.4974,-1.6008,-1.7037,-1.8061,-1.9079,-2.0091,-2.1097,-2.2097,-2.309,0.93829,0,0.015151
-0.2026,0,-0.97925,5.3018,5.2909,5.2785,5.2644,5.2488,5.2315,5.2126,5.1922,5.1701,5.1465,5.1214,5.0946,5.0664,5.0365,5.0052,4.9723,4.9379,4.902,4.8646,4.8257,4.7853,0.25011,0.25317,0.25668,0.26063,0.26503,0.26985,0.2751,0.28078,0.28687,0.29337,0.30025,0.30754,0.3152,0.32324,0.33164,0.34038,0.34947,0.35889,0.36864,0.37869,0.38904,-0.17957,-0.031198,0.11716,0.2655,0.41375,0.56188,0.70985,0.85758,1.0051,1.1523,1.2991,1.4455,1.5915,1.737,1.8819,2.0263,2.1701,2.3133,2.4557,2.5974,2.7382,-0.18047,-0.28724,-0.39393,-0.5005,-0.60692,-0.71315,-0.81916,-0.92493,-1.0304,-1.1356,-1.2404,-1.3448,-1.4489,-1.5525,-1.6556,-1.7582,-1.8603,-1.9618,-2.0627,-2.163,-2.2626,0.92224,0,0.01874
