"Normals:0","Normals:1","Normals:2","VELOCITY_1","VELOCITY_2","VELOCITY_3","VELOCITY_4","VELOCITY_5","VELOCITY_6","VELOCITY_7","VELOCITY_8","VELOCITY_9","VELOCITY_10","VELOCITY_11","CP_1","CP_2","CP_3","CP_4","CP_5","CP_6","CP_7","CP_8","CP_9","CP_10","CP_11","DIPOLE_1","DIPOLE_2","DIPOLE_3","DIPOLE_4","DIPOLE_5","DIPOLE_6","DIPOLE_7","DIPOLE_8","DIPOLE_9","DIPOLE_10","DIPOLE_11","SOURCE_1","SOURCE_2","SOURCE_3","SOURCE_4","SOURCE_5","SOURCE_6","SOURCE_7","SOURCE_8","SOURCE_9","SOURCE_10","SOURCE_11","Points:0","Points:1","Points:2"
-0.09479,0,0.99448,9.117,9.346,9.572,9.7953,10.015,10.233,10.447,10.657,10.865,11.069,11.27,-1.2175,-1.3302,-1.4444,-1.5597,-1.6761,-1.7935,-1.9116,-2.0303,-2.1497,-2.2693,-2.3891,0.15834,0.056435,-0.045472,-0.14739,-0.24925,-0.35104,-0.4527,-0.55424,-0.65564,-0.7568,-0.85773,-1.1088,-1.0037,-0.89821,-0.79249,-0.68652,-0.58035,-0.474,-0.3675,-0.2609,-0.15421,-0.047477,0.26228,0,0.19604
-0.019408,0,0.99927,9.0009,9.2049,9.4061,9.6045,9.8,9.9924,10.182,10.368,10.551,10.731,10.908,-1.1616,-1.2608,-1.3608,-1.4615,-1.5628,-1.6645,-1.7666,-1.8688,-1.9712,-2.0735,-2.1756,0.051397,-0.057432,-0.16623,-0.275,-0.38367,-0.49224,-0.60063,-0.70885,-0.81689,-0.92464,-1.0321,-0.65159,-0.5453,-0.43885,-0.33226,-0.22558,-0.11882,-0.012032,0.094763,0.20153,0.30823,0.41484,0.29711,0,0.1979
0.027022,0,0.99949,8.7861,8.9681,9.1474,9.3239,9.4975,9.6683,9.836,10.001,10.163,10.321,10.477,-1.0597,-1.146,-1.2327,-1.3197,-1.407,-1.4944,-1.5817,-1.669,-1.7562,-1.843,-1.9293,-0.043814,-0.15872,-0.27356,-0.38834,-0.50299,-0.61749,-0.73179,-0.84587,-0.95973,-1.0733,-1.1864,-0.36852,-0.26182,-0.15505,-0.04822,0.058621,0.16544,0.27222,0.37891,0.48548,0.59191,0.69815,0.32836,0,0.1975
0.055604,0,0.99833,8.619,8.7836,8.9455,9.1047,9.2611,9.4147,9.5653,9.7131,9.858,9.9998,10.139,-0.98193,-1.0584,-1.135,-1.2117,-1.2883,-1.3649,-1.4412,-1.5173,-1.593,-1.6681,-1.7427,-0.13102,-0.25139,-0.37167,-0.49187,-0.61189,-0.73174,-0.85134,-0.97069,-1.0898,-1.2085,-1.3269,-0.19358,-0.086765,0.020076,0.12691,0.23371,0.34043,0.44705,0.55354,0.65985,0.76597,0.87185,0.35991,0,0.19614
0.08288,0,0.99645,8.5072,8.6573,8.8046,8.9494,9.0914,9.2306,9.367,9.5005,9.6312,9.7589,9.8837,-0.93082,-0.99954,-1.0682,-1.1368,-1.2052,-1.2732,-1.3409,-1.4082,-1.4749,-1.541,-1.6064,-0.21618,-0.34171,-0.46711,-0.5924,-0.71749,-0.84237,-0.96697,-1.0913,-1.2153,-1.3389,-1.4621,-0.026215,0.080627,0.18745,0.29421,0.40088,0.50743,0.61382,0.72003,0.82602,0.93175,1.0372,0.39203,0,0.19382
0.10908,0,0.99393,8.4069,8.544,8.6785,8.8103,8.9395,9.0659,9.1896,9.3105,9.4286,9.5437,9.656,-0.88553,-0.94755,-1.0094,-1.0709,-1.1321,-1.1929,-1.2531,-1.3128,-1.3719,-1.4302,-1.4877,-0.29996,-0.43037,-0.56062,-0.69074,-0.82061,-0.95026,-1.0796,-1.2086,-1.3373,-1.4655,-1.5933,0.13495,0.24175,0.34847,0.45508,0.56156,0.66786,0.77396,0.87983,0.98543,1.0907,1.1957,0.42456,0,0.19057
0.13425,0,0.99086,8.3068,8.4321,8.5548,8.675,8.7925,8.9073,9.0195,9.1288,9.2354,9.3392,9.4401,-0.84091,-0.89689,-0.95253,-1.0078,-1.0626,-1.1168,-1.1704,-1.2234,-1.2757,-1.3271,-1.3777,-0.38225,-0.51727,-0.65211,-0.7868,-0.92121,-1.0554,-1.1892,-1.3226,-1.4557,-1.5883,-1.7204,0.29008,0.39676,0.50331,0.60972,0.71593,0.82193,0.92768,1.0332,1.1383,1.2431,1.3475,0.45735,0,0.1864
0.15841,0,0.98729,8.2029,8.3174,8.4293,8.5387,8.6454,8.7496,8.851,8.9498,9.0458,9.1391,9.2296,-0.79515,-0.84562,-0.89563,-0.94517,-0.99412,-1.0425,-1.0901,-1.1371,-1.1832,-1.2285,-1.2729,-0.46277,-0.60215,-0.74133,-0.88033,-1.019,-1.1574,-1.2954,-1.4331,-1.5703,-1.707,-1.8432,0.43932,0.54582,0.65215,0.75829,0.86419,0.96983,1.0752,1.1802,1.2849,1.3891,1.493,0.49025,0,0.18135
0.18158,0,0.9833,8.0931,8.1974,8.2993,8.3987,8.4955,8.5897,8.6813,8.7703,8.8566,8.9402,9.021,-0.74741,-0.7928,-0.83765,-0.88194,-0.92558,-0.96855,-1.0108,-1.0522,-1.0928,-1.1325,-1.1713,-0.54118,-0.68468,-0.82794,-0.971,-1.1137,-1.2561,-1.3981,-1.5397,-1.6809,-1.8215,-1.9615,0.58281,0.68908,0.79514,0.90096,1.0065,1.1117,1.2166,1.3212,1.4253,1.529,1.6322,0.5231,0,0.17546
0.20381,0,0.97895,7.976,8.071,8.1635,8.2535,8.341,8.426,8.5084,8.5883,8.6655,8.7401,8.812,-0.69724,-0.73792,-0.778,-0.81746,-0.85622,-0.89426,-0.93151,-0.96793,-1.0035,-1.0382,-1.0718,-0.61709,-0.76446,-0.91156,-1.0584,-1.2049,-1.3511,-1.4968,-1.6421,-1.787,-1.9312,-2.0748,0.72071,0.8267,0.93244,1.0379,1.143,1.2478,1.3522,1.4562,1.5598,1.6629,1.7655,0.55577,0,0.1688
