%eval_id interface         m_root          m_top         p_root          p_top         t_root          t_top           span      chord_tip    my_function 
1            NO_ID              0              0            0.4            0.4           0.12           0.12             10              1   -43.14845118 
2            NO_ID          0.025              0            0.4            0.4           0.12           0.12             10              1    -42.6727462 
3            NO_ID              0          0.025            0.4            0.4           0.12           0.12             10              1    -39.6322617 
4            NO_ID              0              0           0.45            0.4           0.12           0.12             10              1   -43.14845118 
5            NO_ID              0              0            0.4           0.45           0.12           0.12             10              1   -43.14845118 
6            NO_ID              0              0            0.4            0.4           0.14           0.12             10              1   -42.93980264 
7            NO_ID              0              0            0.4            0.4           0.12           0.14             10              1   -42.68640146 
8            NO_ID              0              0            0.4            0.4           0.12           0.12             11              1   -45.02411763 
9            NO_ID              0              0            0.4            0.4           0.12           0.12             11           1.25   -40.65523154 
10           NO_ID              0 8.960170959e-18            0.4            0.4           0.16           0.08    11.86417591            0.5   -45.05551744 
11           NO_ID  0.04636752865  0.04636752865   0.4927350573   0.4927350573   0.1020405892    0.121501487    11.86881266            0.5   -49.69622047 
12           NO_ID  0.09273505729              0            0.5            0.5           0.08           0.15    12.86595688            0.5   -35.90950645 
13           NO_ID 0.005514440558  0.03824265069   0.4886726183   0.4886726183  0.09188449174  0.09789131479     11.8726705   0.5162438642   -50.12877094 
14           NO_ID  0.01102888112           0.05            0.5            0.5           0.15           0.15    12.03300102            1.5   -30.18332931 
15           NO_ID   0.0424768202  0.01420935816   0.4646393258   0.4646393258   0.1046816162   0.1476711864    11.86934859   0.5343381683   -46.47893379 
16           NO_ID  0.01102888112 2.081668171e-17            0.5            0.5   0.1037689835           0.15    12.87023256            0.5   -51.87116924 
17           NO_ID  0.02205776223           0.05            0.7            0.7           0.08           0.15    13.82773629            0.5   -53.97661279 
18           NO_ID  0.02205776223           0.05            0.5            0.5    0.127537967           0.15    11.87182713            0.5   -47.81102062 
19           NO_ID  0.01462348968  0.04026198898   0.3142905131   0.3535670843   0.1175103225   0.1411033059    12.86253415    0.500971769   -50.85079482 
20           NO_ID 5.03069808e-17           0.05            0.3            0.5    0.127537967           0.15    13.84840095            0.5   -48.84731776 
21           NO_ID  0.04258549664  0.02630583529   0.4115097072   0.4128604864    0.130771544   0.1059229192    12.85987002   0.5099825533   -46.48981927 
22           NO_ID 2.428612866e-17           0.05            0.5            0.3           0.15           0.15     13.8475969            0.5   -48.20423625 
23           NO_ID  0.04127634678  0.04273148147    0.486990602   0.4403449298   0.1297330137   0.1068706973      12.867566   0.5084266749   -48.26309494 
24           NO_ID  0.02205776223           0.05            0.3            0.3    0.127537967           0.22    11.91529099            0.5   -49.17971042 
25           NO_ID  0.04132214424  0.03895325447   0.4869933398   0.4402578135   0.1297812502   0.1039154045    12.86835576   0.5098792116   -48.05821016 
26           NO_ID 6.765421556e-17           0.05            0.3            0.3    0.127537967           0.22    11.96839978   0.8140239558   -41.72042998 
27           NO_ID  0.04132214424  0.03895325447   0.4869933398   0.4402578135   0.1297812502   0.1039154045    12.87210936   0.5098792116   -48.26866022 
28           NO_ID 6.088879401e-16           0.05            0.3            0.3    0.127537967           0.22    11.99976354   0.8926793698   -40.04376098 
29           NO_ID 9.211381657e-16           0.05            0.3            0.3    0.127537967           0.22    11.99976354   0.8926793698   -40.04376098 
30           NO_ID  0.04132214424  0.03895325447   0.4869933398   0.4402578135   0.1297812502   0.1039154045    12.87210936   0.5098792116   -48.26866022 
31           NO_ID 1.190020305e-15           0.05            0.3            0.3    0.127537967           0.22    11.99976354   0.8926793698   -40.04376098 
32           NO_ID  0.04132214424  0.03895325447   0.4869933398   0.4402578135   0.1297812502   0.1039154045    12.87210936   0.5098792116   -48.26866022 
33           NO_ID 1.037364639e-15           0.05            0.3            0.3    0.127537967           0.22    11.99976354   0.8926793698   -40.04376098 
34           NO_ID  0.04132214424  0.03895325447   0.4869933398   0.4402578135   0.1297812502   0.1039154045    12.87210936   0.5098792116   -48.26866022 
35           NO_ID 1.084202172e-15           0.05            0.3            0.3    0.127537967           0.22    11.99976354   0.8926793698   -40.04376098 
36           NO_ID  0.04132214424  0.03895325447   0.4869933398   0.4402578135   0.1297812502   0.1039154045    12.87210936   0.5098792116   -48.26866022 
37           NO_ID 1.089406343e-15           0.05            0.3            0.7           0.08           0.22    11.99976354   0.8926793698    -34.0911255 
38           NO_ID  0.04116184056  0.03929896514   0.4901361291   0.4344573999   0.1296494235   0.1033661883    12.86888364   0.5101545138   -48.62795136 
39           NO_ID 3.747002708e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
40           NO_ID  0.04116184056  0.03929896514   0.4901361291   0.4344573999   0.1296494235   0.1033661883    12.86888364   0.5101545138   -48.62795136 
41           NO_ID 3.590877595e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
42           NO_ID 5.42968448e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
43           NO_ID 4.839878498e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
44           NO_ID 5.898059818e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
45           NO_ID 5.117434254e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
46           NO_ID 5.967448757e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
47           NO_ID 5.42968448e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
48           NO_ID 6.834810495e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
49           NO_ID 5.655198532e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
50           NO_ID 6.401129626e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
51           NO_ID 5.620504062e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
52           NO_ID 6.834810495e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
53           NO_ID 6.245004514e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
54           NO_ID 7.372574773e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
55           NO_ID 7.320533069e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
56           NO_ID 7.303185834e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
57           NO_ID 7.285838599e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
58           NO_ID 7.268491364e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
59           NO_ID 7.372574773e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
60           NO_ID 7.355227538e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
61           NO_ID 7.476658181e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
62           NO_ID 7.459310947e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
63           NO_ID 7.355227538e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
64           NO_ID 7.424616477e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
65           NO_ID 7.494005416e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
66           NO_ID 7.54604712e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
67           NO_ID 7.476658181e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
68           NO_ID 7.441963712e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
69           NO_ID 7.511352651e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
70           NO_ID 7.54604712e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
71           NO_ID 7.320533069e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
72           NO_ID 7.407269242e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
73           NO_ID 7.528699886e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
74           NO_ID 7.424616477e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
75           NO_ID 7.528699886e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
76           NO_ID 7.441963712e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
77           NO_ID 7.528699886e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
78           NO_ID 7.441963712e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
79           NO_ID 7.494005416e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
80           NO_ID 7.424616477e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
81           NO_ID 7.54604712e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
82           NO_ID 7.54604712e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
83           NO_ID 7.389922008e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
84           NO_ID 7.441963712e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
85           NO_ID 7.355227538e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
86           NO_ID 7.337880303e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
87           NO_ID 7.441963712e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
88           NO_ID 7.268491364e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
89           NO_ID 7.494005416e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
90           NO_ID 7.233796895e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
91           NO_ID 7.407269242e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
92           NO_ID 7.337880303e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
93           NO_ID 7.199102425e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
94           NO_ID 7.268491364e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
95           NO_ID 7.147060721e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
96           NO_ID 7.147060721e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
97           NO_ID 7.389922008e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
98           NO_ID 7.25114413e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
99           NO_ID 7.337880303e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
100          NO_ID 7.147060721e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
101          NO_ID 7.459310947e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
102          NO_ID 7.459310947e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
103          NO_ID 7.494005416e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
104          NO_ID 7.441963712e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
105          NO_ID 7.233796895e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
106          NO_ID 7.372574773e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
107          NO_ID 7.389922008e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
108          NO_ID 7.233796895e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
109          NO_ID 7.389922008e-16           0.05            0.5            0.3    0.127537967           0.22    13.84589305            0.5   -50.28411751 
