"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","-Cp","Points:0","Points:1","Points:2"
-0.46475,0,0.88503,6.7651,-0.22208,0.5404,-3.1388,0.22208,0.08248,0,0.090699
-0.41745,0,0.90834,7.1509,-0.36502,0.5042,-2.8576,0.36502,0.10246,0,0.10051
-0.37138,0,0.92816,7.487,-0.49607,0.46033,-2.5826,0.49607,0.12437,0,0.10991
-0.32603,0,0.94506,7.779,-0.61483,0.409,-2.311,0.61483,0.14812,0,0.11874
-0.28108,0,0.9594,8.0302,-0.72064,0.35054,-2.0411,0.72064,0.17359,0,0.12685
-0.23635,0,0.9714,8.2423,-0.81261,0.28544,-1.7716,0.81261,0.20066,0,0.1341
-0.19172,0,0.98119,8.416,-0.88972,0.21435,-1.5021,0.88972,0.22918,0,0.14035
-0.1472,0,0.98885,8.5511,-0.9508,0.13805,-1.2325,0.9508,0.259,0,0.14548
-0.10282,0,0.99445,8.6464,-0.99447,0.057483,-0.96312,0.99447,0.28997,0,0.14938
-0.058687,0,0.99803,8.6992,-1.0189,-0.026241,-0.69453,1.0189,0.3219,0,0.15196
-0.01493,0,0.99965,8.703,-1.0206,-0.11181,-0.42758,1.0206,0.35461,0,0.15316
0.027006,0,0.99943,8.6458,-0.99419,-0.19699,-0.17114,0.99419,0.38792,0,0.15293
0.060614,0,0.99807,8.5437,-0.94744,-0.27878,0.034766,0.94744,0.42084,0,0.15138
0.086085,0,0.99621,8.4432,-0.90183,-0.35666,0.1911,0.90183,0.4536,0,0.14895
0.10969,0,0.9939,8.3586,-0.8639,-0.432,0.33618,0.8639,0.48648,0,0.1457
0.13239,0,0.99113,8.2772,-0.82779,-0.50509,0.47585,0.82779,0.51936,0,0.14169
0.1542,0,0.98798,8.1933,-0.79095,-0.57569,0.61027,0.79095,0.55208,0,0.13694
0.17516,0,0.98448,8.1051,-0.7526,-0.64349,0.73958,0.7526,0.58449,0,0.13152
0.19529,0,0.98069,8.0117,-0.71245,-0.70817,0.8639,0.71245,0.61646,0,0.12549
