"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","-Cp","Points:0","Points:1","Points:2"
-0.52591,0,0.84994,6.2592,-0.047092,0.70114,-3.6598,0.047092,0.075777,0,0.10886
-0.4726,0,0.88076,6.7632,-0.22174,0.66637,-3.351,0.22174,0.095765,0,0.12047
-0.42016,0,0.90698,7.2042,-0.38574,0.6226,-3.0451,0.38574,0.11784,0,0.13156
-0.36818,0,0.92932,7.5892,-0.53737,0.57002,-2.7399,0.53737,0.14192,0,0.14196
-0.31635,0,0.94823,7.9219,-0.67485,0.509,-2.4339,0.67485,0.16786,0,0.15147
-0.26454,0,0.96398,8.2047,-0.79633,0.44008,-2.1263,0.79633,0.19555,0,0.15992
-0.21267,0,0.97674,8.4384,-0.89995,0.364,-1.8167,0.89995,0.22481,0,0.16715
-0.16079,0,0.98662,8.6227,-0.98367,0.28171,-1.5055,0.98367,0.25549,0,0.17301
-0.10899,0,0.99368,8.7557,-1.0452,0.19433,-1.1933,1.0452,0.28739,0,0.17737
-0.057432,0,0.99799,8.8336,-1.0818,0.10321,-0.88116,1.0818,0.32032,0,0.18012
-0.0063222,0,0.99963,8.8471,-1.0881,0.0099937,-0.5703,1.0881,0.35406,0,0.18119
0.041164,0,0.99888,8.7853,-1.0591,-0.081939,-0.28027,1.0591,0.3884,0,0.18052
0.077727,0,0.99684,8.6769,-1.0086,-0.16892,-0.056175,1.0086,0.42142,0,0.1784
0.10588,0,0.99426,8.5757,-0.96201,-0.25155,0.11689,0.96201,0.45451,0,0.1753
0.13261,0,0.99105,8.4906,-0.92328,-0.33179,0.28165,0.92328,0.48771,0,0.17126
0.15821,0,0.9873,8.4058,-0.88502,-0.40966,0.43979,0.88502,0.52087,0,0.16632
0.18272,0,0.98306,8.3165,-0.8452,-0.48486,0.59151,0.8452,0.55383,0,0.16055
0.20617,0,0.97842,8.2214,-0.80324,-0.55704,0.73705,0.80324,0.58645,0,0.15401
0.22861,0,0.97342,8.1199,-0.75903,-0.62583,0.87659,0.75903,0.61859,0,0.14677
0.25008,0,0.96814,8.0118,-0.71251,-0.69089,1.0103,0.71251,0.6501,0,0.13892
0.2706,0,0.96261,7.897,-0.6638,-0.75189,1.1384,0.6638,0.68087,0,0.13053
0.2902,0,0.95689,7.7757,-0.61308,-0.80855,1.261,0.61308,0.71075,0,0.12171
0.3089,0,0.95102,7.6479,-0.56052,-0.86065,1.3782,0.56052,0.73965,0,0.11254
