"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","-Cp","arc_length","Points:0","Points:1","Points:2"
-0.7882,0,0.61329,2.6901,0.79741,0.56537,-5.0248,-0.79741,1.0605,0.011817,0,0.039516
-0.72853,0,0.68377,3.7692,0.61482,0.57118,-4.6837,-0.61482,1.0744,0.020922,0,0.050091
-0.67402,0,0.73786,4.6527,0.41817,0.56884,-4.3686,-0.41817,1.0904,0.032295,0,0.061272
-0.62277,0,0.78175,5.4016,0.21842,0.55752,-4.0701,-0.21842,1.1083,0.045923,0,0.072883
-0.57313,0,0.81891,6.0532,0.020012,0.5366,-3.7791,-0.020012,1.1281,0.061784,0,0.084729
-0.52379,0,0.85135,6.63,-0.17463,0.50561,-3.4885,0.17463,1.1497,0.07984,0,0.096591
-0.4738,0,0.88016,7.1444,-0.36329,0.46435,-3.1925,0.36329,1.173,0.10004,0,0.10824
-0.42246,0,0.90592,7.6033,-0.54348,0.41279,-2.8874,0.54348,1.1979,0.12231,0,0.11943
-0.36931,0,0.92884,8.0084,-0.71194,0.35118,-2.5702,0.71194,1.2243,0.14655,0,0.12991
-0.31409,0,0.94892,8.3583,-0.86443,0.28004,-2.2393,0.86443,1.2521,0.17267,0,0.13943
-0.2567,0,0.966,8.6487,-0.99596,0.20018,-1.8942,0.99596,1.2812,0.20053,0,0.14776
-0.19723,0,0.97985,8.8729,-1.1005,0.11275,-1.5354,1.1005,1.3114,0.22996,0,0.15465
-0.13594,0,0.99019,9.0201,-1.1707,0.019296,-1.1642,1.1707,1.3427,0.26081,0,0.15988
-0.073235,0,0.99677,9.0707,-1.195,-0.078097,-0.78304,1.195,1.3749,0.29285,0,0.16328
-0.012867,0,0.99946,8.9938,-1.1581,-0.17525,-0.41491,1.1581,1.408,0.3259,0,0.16467
0.030725,0,0.99936,8.8266,-1.0787,-0.26626,-0.14839,1.0787,1.4404,0.35826,0,0.16416
0.057977,0,0.99818,8.6746,-1.0076,-0.35053,0.018605,1.0076,1.4723,0.39015,0,0.16271
0.082309,0,0.99647,8.5693,-0.95909,-0.4316,0.16793,0.95909,1.5047,0.42248,0,0.16042
0.1058,0,0.99425,8.4805,-0.91869,-0.51066,0.31225,0.91869,1.5375,0.45508,0,0.15733
0.12845,0,0.99158,8.3948,-0.88012,-0.58769,0.45166,0.88012,1.5704,0.48782,0,0.15346
0.1503,0,0.9885,8.3081,-0.84147,-0.66244,0.58623,0.84147,1.6035,0.52055,0,0.14883
0.17134,0,0.98507,8.2184,-0.80193,-0.73464,0.716,0.80193,1.6365,0.55312,0,0.14351
0.19159,0,0.98132,8.1249,-0.76118,-0.80397,0.84107,0.76118,1.6693,0.58539,0,0.13753
0.21106,0,0.97732,8.0273,-0.71912,-0.87011,0.96148,0.71912,1.7018,0.61722,0,0.13097
0.22977,0,0.97308,7.9254,-0.67578,-0.93277,1.0773,0.67578,1.7339,0.64849,0,0.12388
0.24773,0,0.96866,7.8193,-0.63121,-0.99167,1.1885,0.63121,1.7653,0.67906,0,0.11634
0.26492,0,0.96409,7.7092,-0.5856,-1.0466,1.2952,0.5856,1.7961,0.70881,0,0.10843
0.28137,0,0.95942,7.5952,-0.53907,-1.0973,1.3973,0.53907,1.8261,0.73762,0,0.10022
0.29705,0,0.95467,7.4778,-0.49183,-1.1436,1.4948,0.49183,1.8551,0.76538,0,0.091809
0.31198,0,0.94989,7.3576,-0.44427,-1.1854,1.5876,0.44427,1.883,0.79199,0,0.083277
0.32612,0,0.94512,7.2353,-0.39665,-1.2226,1.6757,0.39665,1.9098,0.81733,0,0.074718
0.33946,0,0.94041,7.1117,-0.34935,-1.2552,1.7588,0.34935,1.9352,0.84133,0,0.066223
0.35199,0,0.93578,6.9882,-0.30291,-1.2833,1.837,0.30291,1.9593,0.86389,0,0.057886
0.36367,0,0.9313,6.8667,-0.25799,-1.3069,1.9099,0.25799,1.9818,0.88492,0,0.049799
0.37448,0,0.927,6.7497,-0.21549,-1.3261,1.9774,0.21549,2.0028,0.90437,0,0.042051
0.38439,0,0.92293,6.6408,-0.17657,-1.3412,2.0393,0.17657,2.022,0.92216,0,0.034733
0.39336,0,0.91913,6.5448,-0.14279,-1.3524,2.0954,0.14279,2.0394,0.93823,0,0.027928
0.40136,0,0.91566,6.4686,-0.11631,-1.3601,2.1455,0.11631,2.055,0.95252,0,0.021716
0.40837,0,0.91255,6.4211,-0.099941,-1.3646,2.1894,0.099941,2.0687,0.96501,0,0.01617
0.41435,0,0.90984,6.4131,-0.097195,-1.3665,2.2269,0.097195,2.0804,0.97563,0,0.011358
0.41929,0,0.90758,6.4541,-0.1113,-1.3662,2.2579,0.1113,2.09,0.98437,0,0.0073373
0.42315,0,0.90578,6.5462,-0.1433,-1.3644,2.2821,0.1433,2.0975,0.99119,0,0.0041574
0.42592,0,0.90448,6.6766,-0.18936,-1.3617,2.2994,0.18936,2.1029,0.99608,0,0.0018573
0.42759,0,0.90369,6.8626,-0.25678,-1.3588,2.3099,0.25678,2.1062,0.99902,0,0.00046579
0.13504,0,-0.041984,6.2475,-0.055477,-0.28261,0.83966,0.055477,2.1072,1,0,1.7266e-17
