"Normals:0","Normals:1","Normals:2","VELOCITY_1","CP_1","DIPOLE_1","SOURCE_1","Points:0","Points:1","Points:2"
-0.025777,0,0.99885,9.4499,-1.3826,-0.071912,-0.6426,0.29639,0,0.19551
0.025259,0,0.99933,9.2357,-1.2759,-0.18148,-0.33135,0.3282,0,0.19521
0.055303,0,0.99812,9.0577,-1.1888,-0.28121,-0.1474,0.35973,0,0.19392
0.083358,0,0.99616,8.9475,-1.1358,-0.37801,0.024775,0.39183,0,0.19169
0.11035,0,0.99351,8.8542,-1.0915,-0.47317,0.19081,0.42434,0,0.18853
0.13631,0,0.99027,8.7639,-1.0491,-0.56661,0.35083,0.45712,0,0.18446
0.16126,0,0.98649,8.6715,-1.0061,-0.65804,0.50495,0.49,0,0.17951
0.18523,0,0.98225,8.5748,-0.9616,-0.74706,0.65325,0.52284,0,0.17374
0.20823,0,0.97761,8.4727,-0.91517,-0.83326,0.79587,0.5555,0,0.16719
0.23028,0,0.97262,8.3647,-0.86667,-0.91621,0.9329,0.58783,0,0.15993
0.25141,0,0.96735,8.2507,-0.81614,-0.99548,1.0644,0.6197,0,0.15202
0.27165,0,0.96183,8.1306,-0.76369,-1.0707,1.1906,0.65096,0,0.14355
0.29099,0,0.95613,8.0048,-0.70953,-1.1415,1.3114,0.6815,0,0.1346
0.30947,0,0.95027,7.8734,-0.6539,-1.2076,1.427,0.71119,0,0.12526
0.32708,0,0.94432,7.7369,-0.59706,-1.2687,1.5374,0.73992,0,0.11562
0.34383,0,0.93831,7.5958,-0.53936,-1.3245,1.6426,0.76757,0,0.10578
0.35972,0,0.9323,7.4509,-0.48118,-1.375,1.7425,0.79404,0,0.095834
0.37474,0,0.92633,7.3028,-0.42289,-1.42,1.8371,0.81923,0,0.085888
0.38889,0,0.92044,7.1527,-0.365,-1.4594,1.9262,0.84306,0,0.076045
0.40213,0,0.91469,7.0021,-0.30814,-1.4934,2.0099,0.86544,0,0.066409
0.41446,0,0.90913,6.8529,-0.253,-1.522,2.0878,0.88629,0,0.057081
0.42585,0,0.90382,6.7077,-0.20045,-1.5454,2.1599,0.90555,0,0.048163
0.43626,0,0.8988,6.5696,-0.15151,-1.5638,2.2259,0.92315,0,0.039753
0.44568,0,0.89413,6.4428,-0.10748,-1.5775,2.2857,0.93903,0,0.031944
0.45408,0,0.88987,6.3328,-0.069967,-1.5871,2.339,0.95316,0,0.024825
0.46142,0,0.88605,6.2459,-0.040773,-1.5929,2.3856,0.96549,0,0.018477
0.46768,0,0.88274,6.1887,-0.02176,-1.5955,2.4254,0.97597,0,0.012973
0.47284,0,0.87997,6.166,-0.014263,-1.5955,2.4583,0.98459,0,0.0083778
0.47687,0,0.87777,6.1787,-0.018475,-1.5937,2.484,0.99132,0,0.0047457
0.47976,0,0.87618,6.2176,-0.03135,-1.5909,2.5024,0.99614,0,0.0021198
0.48151,0,0.87521,6.229,-0.0351,-1.5879,2.5135,0.99903,0,0.00053155
